epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
113,19926.1,0.7252,0.3276,0.00334,0.96747,0.95893,0.983,0.83422,0.63304,0.24942,0.0029,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
114,20094.8,0.72842,0.32253,0.00333,0.96729,0.95897,0.98282,0.83413,0.6328,0.24908,0.0029,0.018813,0.006271,0.018813,0.006271,0.018813,0.006271,0.018813,0.006271
115,20262.6,0.72618,0.32377,0.00332,0.96791,0.95821,0.98272,0.83418,0.63237,0.24894,0.0029,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
116,20432.9,0.72437,0.32167,0.00331,0.9671,0.95777,0.98294,0.83423,0.63192,0.24899,0.0029,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205
117,20602,0.72315,0.32117,0.00328,0.966,0.95853,0.98306,0.83458,0.63156,0.24843,0.0029,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172
118,20771.3,0.72168,0.32088,0.00335,0.96643,0.95825,0.9832,0.83457,0.63124,0.24791,0.00289,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
119,20941.8,0.71956,0.31844,0.0033,0.96804,0.95739,0.98323,0.83485,0.63033,0.2482,0.00288,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106
120,21111.2,0.72231,0.32289,0.00333,0.96736,0.95704,0.98306,0.83495,0.6305,0.2486,0.00288,0.018219,0.006073,0.018219,0.006073,0.018219,0.006073,0.018219,0.006073
121,21279.9,0.71897,0.31865,0.00328,0.96734,0.95697,0.98285,0.83503,0.62959,0.24858,0.00288,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
122,21448.3,0.71943,0.31865,0.00328,0.96812,0.95693,0.98308,0.83534,0.6285,0.24797,0.00287,0.018021,0.006007,0.018021,0.006007,0.018021,0.006007,0.018021,0.006007
123,21623.2,0.71714,0.32297,0.00332,0.96857,0.95701,0.98287,0.83513,0.62799,0.24824,0.00287,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974
124,21791.5,0.71486,0.316,0.00326,0.97035,0.95622,0.98292,0.83583,0.62769,0.24666,0.00287,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
125,21961.6,0.71843,0.3226,0.00329,0.96854,0.95751,0.98303,0.83663,0.62724,0.24577,0.00287,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908
126,22130.2,0.71837,0.32317,0.00329,0.96847,0.95829,0.98285,0.83632,0.62724,0.2445,0.00286,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875
127,22300.4,0.71487,0.31836,0.00324,0.96851,0.95678,0.98278,0.83666,0.62683,0.24555,0.00286,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
128,22470.7,0.7121,0.31818,0.00328,0.97005,0.95622,0.98277,0.83659,0.62629,0.24424,0.00286,0.017427,0.005809,0.017427,0.005809,0.017427,0.005809,0.017427,0.005809
129,22638.6,0.70898,0.31446,0.00321,0.96898,0.95695,0.98289,0.83631,0.62627,0.24394,0.00285,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776
130,22808.8,0.70851,0.31338,0.00323,0.96779,0.95792,0.98282,0.83653,0.62569,0.24383,0.00285,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
131,22978.4,0.70833,0.31418,0.00322,0.96797,0.95799,0.9829,0.83715,0.62514,0.24343,0.00285,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
132,23148.3,0.70647,0.3145,0.00326,0.97018,0.95531,0.98291,0.83699,0.62471,0.24375,0.00285,0.017031,0.005677,0.017031,0.005677,0.017031,0.005677,0.017031,0.005677
133,23316.3,0.7035,0.31271,0.00321,0.97018,0.95522,0.98312,0.83686,0.6253,0.24415,0.00285,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
134,23485.8,0.70168,0.30985,0.00317,0.96866,0.95678,0.98273,0.83711,0.62454,0.24399,0.00285,0.016833,0.005611,0.016833,0.005611,0.016833,0.005611,0.016833,0.005611
135,23653.7,0.70356,0.31086,0.0032,0.96993,0.95599,0.98283,0.83708,0.62436,0.24378,0.00285,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578
136,23823.5,0.70556,0.31392,0.0032,0.96964,0.95743,0.98326,0.8373,0.62382,0.24288,0.00285,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
137,23993.1,0.69944,0.31286,0.00317,0.97093,0.95724,0.98346,0.83731,0.6236,0.24234,0.00284,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512
138,24161.7,0.69566,0.31089,0.00318,0.96899,0.95839,0.98343,0.83747,0.6232,0.24187,0.00284,0.016437,0.005479,0.016437,0.005479,0.016437,0.005479,0.016437,0.005479
